min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
3,2,salience_times_contention,0.1,IRR,0.2,0.008583597793325758,0.1976393735454025,-0.002360626454597503
3,2,salience_times_contention,0.1,Geological Feasibility,0.15,0.033158144958326745,0.14859348511277207,-0.0014065148872279276
3,2,salience_times_contention,0.1,Market Stability,0.15,0.012112336438254625,0.1482817916270489,-0.0017182083729510855
3,2,salience_times_contention,0.1,Local Employment,0.15,0.605738736139635,0.15707354137445034,0.007073541374450348
3,2,salience_times_contention,0.1,Community Infrastructure,0.1,0.2670069001973839,0.10137122761250265,0.0013712276125026485
3,2,salience_times_contention,0.3,NPV,0.25,0.008233723504834024,0.2413408301477032,-0.00865916985229681
3,2,salience_times_contention,0.3,IRR,0.2,0.008583597793325758,0.19309287953201976,-0.0069071204679802545
3,2,salience_times_contention,0.3,Geological Feasibility,0.15,0.033158144958326745,0.14588458065986237,-0.0041154193401376216
3,2,salience_times_contention,0.3,Market Stability,0.15,0.012112336438254625,0.14497257509846515,-0.005027424901534849
3,2,salience_times_contention,0.3,Local Employment,0.15,0.605738736139635,0.1706969647033382,0.020696964703338205
3,2,salience_times_contention,0.3,Community Infrastructure,0.1,0.2670069001973839,0.10401216985861136,0.0040121698586113586
3,2,salience_times_contention,0.5,NPV,0.25,0.008233723504834024,0.2359156094758275,-0.014084390524172513
3,2,salience_times_contention,0.5,IRR,0.2,0.008583597793325758,0.1887653685367154,-0.0112346314632846
3,2,salience_times_contention,0.5,Geological Feasibility,0.15,0.033158144958326745,0.14330615126554475,-0.006693848734455249
3,2,salience_times_contention,0.5,Market Stability,0.15,0.012112336438254625,0.14182274780931975,-0.008177252190680245
3,2,salience_times_contention,0.5,Local Employment,0.15,0.605738736139635,0.18366421244982387,0.03366421244982387
3,2,salience_times_contention,0.5,Community Infrastructure,0.1,0.2670069001973839,0.10652591046276888,0.006525910462768875
3,2,salience_times_contention,0.8,NPV,0.25,0.008233723504834024,0.22825064740542977,-0.021749352594570226
3,2,salience_times_contention,0.8,IRR,0.2,0.008583597793325758,0.18265129324938362,-0.017348706750616394
3,2,salience_times_contention,0.8,Geological Feasibility,0.15,0.033158144958326745,0.1396632462661043,-0.010336753733895698
3,2,salience_times_contention,0.8,Market Stability,0.15,0.012112336438254625,0.13737254971419677,-0.012627450285803227
3,2,salience_times_contention,0.8,Local Employment,0.15,0.605738736139635,0.20198484273303377,0.051984842733033776
